feature,importance
prop_historical_br,12241845.39855957
prop_historical_ctr,1828825.3470230103
position,1640826.0125427246
random_bool,917902.4016113281
price_rank,256415.3378868103
prop_avg_price,77513.25552368164
price_percentile,73987.43407821655
destination_search_volume,51601.43398666382
prop_location_score2,48906.13417816162
price_diff_from_mean,34303.85977935791
star_rank,25442.942447662354
review_score_per_dollar,20856.02577972412
prop_price_std,18054.481185913086
srch_booking_window,15936.111869812012
price_diff_from_hist,15712.446464538574
location_score_diff,14178.969993591309
price_usd,13029.375137329102
location_rank,12990.969440460205
price_per_star,11688.9711227417
review_rank,10022.548919677734
price_ratio_to_mean,9298.03980255127
prop_click_count,8681.429494857788
total_price,7840.386278152466
prop_brand_bool,6832.662879943848
location_score_per_dollar,6795.3449630737305
avg_comp_price_diff,6651.5748291015625
star_per_dollar,6514.622024536133
prop_location_score1,5533.332176208496
comp8_price_diff,4621.197546005249
dest_price_std,4105.232353210449
location_score_product,3579.008201599121
advance_booking_days,2855.388984680176
comp5_price_diff,2815.360607147217
srch_query_affinity_score,2726.9368057250977
prop_starrating,2725.8991622924805
visitor_hist_adr_usd,2358.2550048828125
prop_log_historical_price,1955.7816009521484
srch_adults_count,1710.4630126953125
star_x_score,1542.5989990234375
rooms_per_person,1495.4365882873535
dest_avg_price,1416.484489440918
srch_children_count,1098.7512130737305
star_rating_diff,937.3662986755371
srch_room_count,719.3249816894531
price_per_night,710.0151977539062
srch_length_of_stay,676.9190063476562
mean_comp_price_diff,632.9369964599609
promotion_flag,624.6117858886719
comp3_price_diff,595.2285995483398
orig_destination_distance,483.2802963256836
srch_destination_id,459.5275077819824
comp2_price_diff,405.9700012207031
visitor_hist_starrating,359.60640716552734
prop_country_id,352.1983947753906
prop_id,264.6323013305664
prop_review_score,234.3820037841797
hour,173.0376968383789
month,142.58070182800293
comp_rates_available,126.12300109863281
site_id,118.21800231933594
comp7_price_diff,101.97699737548828
day_of_week,70.14309692382812
visitor_location_country_id,68.21479797363281
log_orig_distance,43.9541015625
comp_position_score,0.0
comp6_available,0.0
srch_saturday_night_bool,0.0
comp1_available,0.0
comp2_available,0.0
comp3_available,0.0
comp4_available,0.0
comp5_available,0.0
user_has_history,0.0
is_domestic,0.0
comp8_available,0.0
comp7_available,0.0
cheaper_than_comp_count,0.0
total_guests,0.0
has_booking_history,0.0
price_usd_original,0.0
is_weekend,0.0
prop_booking_count,0.0
comp1_price_diff,0.0
comp4_price_diff,0.0
comp6_price_diff,0.0
comp_position_x_review,0.0
