feature,importance
prop_historical_br,21621.10299983248
prop_historical_ctr,3403.748146571219
position,1092.922075688839
price_ratio_to_mean,423.84972785413265
prop_location_score2,351.092197868973
price_percentile,318.1036190390587
price_diff_from_hist,316.40375939011574
price_diff_from_mean,254.5825944468379
prop_location_score1,221.80099496245384
destination_search_volume,216.15055346488953
price_rank,195.50481554493308
log_orig_distance,183.08427637442946
location_rank,176.1755695072934
review_score_per_dollar,82.96491038799286
star_rank,79.92692995071411
star_per_dollar,57.09038043022156
prop_review_score,21.327640056610107
prop_starrating,18.445170044898987
is_domestic,7.069119930267334
