feature,importance
prop_historical_br,2.7032355799721057
position,0.8033654101578559
prop_avg_price,0.4413188015086438
price_diff_from_mean,0.39366509822788914
destination_search_volume,0.360198546867486
price_percentile,0.29869646016860274
prop_starrating,0.21439564674527972
is_domestic,0.1770127417139855
location_rank,0.12058677755600294
star_rank,0.09994060382394006
prop_location_score2,0.08937762056107727
review_score_per_dollar,0.07062189535710327
prop_historical_ctr,0.06730427716404312
price_rank,0.010357091743089207
prop_review_score,0.008229423289076502
