feature,importance
prop_historical_ctr,28493.20694208145
prop_historical_br,1493.9479188919067
position,872.0646228790283
random_bool,782.7425765991211
orig_destination_distance,461.4255919456482
prop_location_score2,414.86129999160767
location_score_diff,401.17401337623596
total_price,398.0368285179138
price_ratio_to_mean,378.0510711669922
price_diff_from_mean,373.90098237991333
prop_avg_price,347.3528003692627
location_score_product,343.5543932914734
prop_log_historical_price,328.459890127182
prop_id,328.44158029556274
comp3_price_diff,305.2451825141907
destination_search_volume,291.0706477165222
srch_booking_window,274.6123013496399
location_rank,261.9414372444153
prop_price_std,256.99977016448975
price_percentile,248.4967131614685
comp2_price_diff,242.15121054649353
comp5_price_diff,226.68224811553955
dest_avg_price,223.69693994522095
dest_price_std,222.7503318786621
price_rank,220.90249252319336
srch_destination_id,217.2153124809265
price_per_star,208.7915496826172
prop_location_score1,200.55581855773926
price_diff_from_hist,173.47426891326904
price_per_night,172.12026834487915
hour,169.8826198577881
prop_click_count,159.62641859054565
comp8_price_diff,145.94543886184692
location_score_per_dollar,128.41516876220703
srch_length_of_stay,117.59504127502441
day_of_week,111.77070045471191
comp_position_x_review,107.68310070037842
avg_comp_price_diff,99.15310049057007
month,93.6944580078125
price_usd,90.9676308631897
srch_query_affinity_score,82.29329109191895
total_guests,76.7019305229187
review_score_per_dollar,75.42366027832031
mean_comp_price_diff,74.76249027252197
srch_children_count,64.93357133865356
rooms_per_person,56.0690598487854
star_rank,55.299930572509766
review_rank,51.4769811630249
star_per_dollar,47.615139961242676
site_id,45.62229919433594
comp4_price_diff,44.48857021331787
comp1_price_diff,38.94180965423584
star_rating_diff,38.154889822006226
srch_adults_count,27.549569606781006
log_orig_distance,26.064499855041504
srch_saturday_night_bool,24.232879161834717
star_x_score,23.704099655151367
cheaper_than_comp_count,21.82009983062744
prop_booking_count,13.468249797821045
advance_booking_days,12.7880699634552
prop_starrating,11.383500099182129
price_usd_original,9.789349555969238
visitor_location_country_id,8.752710342407227
prop_review_score,8.589719772338867
comp_rates_available,7.817530155181885
prop_brand_bool,7.303549766540527
comp_position_score,6.932690143585205
visitor_hist_adr_usd,6.749879837036133
has_booking_history,0.0
is_domestic,0.0
is_weekend,0.0
visitor_hist_starrating,0.0
comp8_available,0.0
user_has_history,0.0
comp7_available,0.0
comp6_available,0.0
prop_country_id,0.0
comp5_available,0.0
comp4_available,0.0
comp3_available,0.0
comp2_available,0.0
comp1_available,0.0
comp6_price_diff,0.0
comp7_price_diff,0.0
promotion_flag,0.0
srch_room_count,0.0
