prop_id,position,original_rank,predicted_rank,predicted_score,relevance_score,prop_starrating,price_usd,prop_review_score
78600,12,10.0,1.0,0.4791860279768371,6,4,-0.2430801991864533,0.1916013415663611
8698,32,28.0,2.0,-2.2265020549247563,0,4,0.3625530084506778,1.174481146500156
76927,24,20.0,2.0,-2.2265020549247563,0,4,0.0395303035148498,-3.7399178781688183
127353,10,9.0,2.0,-2.2265020549247563,0,4,-0.2834924014209782,-1.282718365834331
110647,22,19.0,2.0,-2.2265020549247563,0,5,-0.0950395807967141,-3.7399178781688183
102477,13,11.0,2.0,-2.2265020549247563,0,4,-0.2430801991864533,0.6830412440332585
101776,15,13.0,2.0,-2.2265020549247563,0,4,-0.2430801991864533,0.1916013415663611
101093,29,25.0,2.0,-2.2265020549247563,0,5,0.133687985591889,0.6830412440332585
97275,25,21.0,2.0,-2.2265020549247563,0,4,0.0530010375930246,0.1916013415663611
96295,20,17.0,2.0,-2.2265020549247563,0,5,-0.162393251187589,-0.2998385609005362
92120,26,22.0,2.0,-2.2265020549247563,0,5,0.0664717716711998,0.1916013415663611
86519,9,8.0,2.0,-2.2265020549247563,0,4,-0.310433869577328,-3.7399178781688183
84612,28,24.0,2.0,-2.2265020549247563,0,5,0.1202172515137141,0.6830412440332585
83369,7,6.0,2.0,-2.2265020549247563,0,4,-0.3643168058900279,-0.7912784633674337
80932,19,16.0,2.0,-2.2265020549247563,0,4,-0.175863985265764,0.1916013415663611
76240,16,14.0,2.0,-2.2265020549247563,0,4,-0.2430801991864533,0.1916013415663611
9645,27,23.0,2.0,-2.2265020549247563,0,4,0.1068839739057246,-3.7399178781688183
63293,4,4.0,2.0,-2.2265020549247563,0,4,-0.4988866902015921,1.174481146500156
57339,8,7.0,2.0,-2.2265020549247563,0,4,-0.323904603655503,1.174481146500156
57178,14,12.0,2.0,-2.2265020549247563,0,4,-0.2430801991864533,-0.2998385609005362
53314,2,2.0,2.0,-2.2265020549247563,0,4,-0.8084386610592451,-0.2998385609005362
45400,1,1.0,2.0,-2.2265020549247563,0,4,-0.8084386610592451,-0.2998385609005362
44635,3,3.0,2.0,-2.2265020549247563,0,4,-0.7277517130603808,0.1916013415663611
33885,30,26.0,2.0,-2.2265020549247563,0,4,0.1741001878264138,0.1916013415663611
32875,33,29.0,2.0,-2.2265020549247563,0,4,0.483652158684067,0.6830412440332585
25317,34,30.0,2.0,-2.2265020549247563,0,5,0.5510058290749419,0.1916013415663611
22876,21,18.0,2.0,-2.2265020549247563,0,4,-0.162393251187589,-3.7399178781688183
21302,18,15.0,2.0,-2.2265020549247563,0,4,-0.2297469215784639,0.6830412440332585
17742,6,5.0,2.0,-2.2265020549247563,0,5,-0.4181997422027277,0.1916013415663611
15778,31,27.0,2.0,-2.2265020549247563,0,5,0.295199338059803,0.1916013415663611
130084,35,31.0,2.0,-2.2265020549247563,0,5,0.5779472972312916,-0.2998385609005362
